,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
0,largeDataset,6.0,50.0,0.5,0.02,0.2136022884198086,0.43657526139277963,0.2868554133493348
1,largeDataset,6.0,50.0,0.5,0.05,0.2056783060432723,0.501676859341093,0.2917460751256873
2,largeDataset,10.0,50.0,0.5,0.02,0.22876729701547538,0.5995265338331032,0.33116765941271126
3,largeDataset,10.0,50.0,0.5,0.05,0.22815150917340904,0.5916354310514894,0.3293112145402729
4,largeDataset,20.0,50.0,0.5,0.02,0.30286827494856855,0.7291378970211086,0.4279678611784481
5,largeDataset,20.0,50.0,0.5,0.05,0.2815042884385976,0.6906687709607418,0.39998273771583687
6,largeDataset,30.0,50.0,0.5,0.02,0.3147598850153611,0.7642533043992898,0.44588200510473575
7,largeDataset,30.0,50.0,0.5,0.05,0.29291585641950807,0.6989544288814362,0.4128258264575297
8,largeDataset,40.0,50.0,0.5,0.02,0.34920423551810376,0.841388834089564,0.4935633376037293
9,largeDataset,40.0,50.0,0.5,0.05,0.3284889947298717,0.7802327875320576,0.4623303846503527
10,largeDataset,50.0,50.0,0.5,0.02,0.35272978922613907,0.8419806667981851,0.49717764105039547
11,largeDataset,50.0,50.0,0.5,0.05,0.3355294554199671,0.7818110080883803,0.46954465599780904
