,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
48,showcase_noStem,6.0,50.0,0.5,0.05,0.43365695792880266,0.5631067961165048,0.48997604337410167
49,showcase_noStem,6.0,50.0,0.5,0.1,0.4733009708737865,0.6407766990291263,0.5444507900247478
50,showcase_noStem,6.0,50.0,0.5,0.2,0.44012944983818775,0.5631067961165048,0.4940808017538365
52,showcase_noStem,6.0,50.0,0.6,0.05,0.5161812297734629,0.6893203883495146,0.590317325861732
53,showcase_noStem,6.0,50.0,0.6,0.1,0.4433656957928802,0.6019417475728155,0.5106255072289518
54,showcase_noStem,6.0,50.0,0.6,0.2,0.5679611650485439,0.7864077669902912,0.6595678045725025
56,showcase_noStem,6.0,50.0,0.7,0.05,0.5000000000000001,0.6796116504854369,0.5761316872427984
57,showcase_noStem,6.0,50.0,0.7,0.1,0.44902912621359226,0.6019417475728155,0.5143613085495191
58,showcase_noStem,6.0,50.0,0.7,0.2,0.5898058252427185,0.7572815533980582,0.6631330359485701
60,showcase_noStem,6.0,50.0,0.8,0.05,0.5145631067961167,0.7087378640776699,0.5962397904145478
61,showcase_noStem,6.0,50.0,0.8,0.1,0.4644012944983819,0.5728155339805825,0.5129424594459507
62,showcase_noStem,6.0,50.0,0.8,0.2,0.5375404530744337,0.7669902912621359,0.6320867644685725
81,showcase_noStem,6.0,70.0,0.5,0.1,0.48980582524271843,0.6504854368932039,0.5588248666030163
96,showcase_noStem,6.0,75.0,0.5,0.05,0.510032362459547,0.6893203883495146,0.5862757323469158
97,showcase_noStem,6.0,75.0,0.5,0.1,0.4676375404530745,0.5533980582524272,0.5069161294293232
109,showcase_noStem,6.0,75.0,0.8,0.1,0.5614886731391586,0.6601941747572816,0.6068539831543754
110,showcase_noStem,6.0,75.0,0.8,0.2,0.5533980582524272,0.6893203883495146,0.6139259708737865
113,showcase_noStem,6.0,90.0,0.5,0.1,0.47006472491909385,0.5728155339805825,0.5163783169010371
129,showcase_noStem,6.0,120.0,0.5,0.1,0.539644012944984,0.6990291262135923,0.6090822040293483
144,showcase_noStem,6.0,125.0,0.5,0.05,0.44255663430420705,0.5436893203883495,0.48793774938872375
145,showcase_noStem,6.0,125.0,0.5,0.1,0.5218446601941749,0.6310679611650486,0.5712825753704651
157,showcase_noStem,6.0,125.0,0.8,0.1,0.5423948220064725,0.7378640776699029,0.6252073782481078
158,showcase_noStem,6.0,125.0,0.8,0.2,0.5242718446601943,0.6407766990291263,0.5766990291262136
160,showcase_noStem,6.0,150.0,0.5,0.05,0.4805825242718447,0.6019417475728155,0.5344594888763117
161,showcase_noStem,6.0,150.0,0.5,0.1,0.41262135922330095,0.49514563106796117,0.4501323918799647
224,showcase_noStem,10.0,50.0,0.5,0.05,0.5444983818770227,0.6893203883495146,0.608409995225211
225,showcase_noStem,10.0,50.0,0.5,0.1,0.5436893203883495,0.6990291262135923,0.6116504854368933
226,showcase_noStem,10.0,50.0,0.5,0.2,0.5153721682847897,0.6310679611650486,0.5673822036162822
228,showcase_noStem,10.0,50.0,0.6,0.05,0.580097087378641,0.7378640776699029,0.6495378068622719
229,showcase_noStem,10.0,50.0,0.6,0.1,0.5059870550161814,0.6893203883495146,0.5835941124594375
230,showcase_noStem,10.0,50.0,0.6,0.2,0.6205501618122979,0.8155339805825242,0.7048051415287844
232,showcase_noStem,10.0,50.0,0.7,0.05,0.5873786407766992,0.7864077669902912,0.6724758996878111
233,showcase_noStem,10.0,50.0,0.7,0.1,0.5343042071197411,0.7572815533980582,0.6265456500426931
234,showcase_noStem,10.0,50.0,0.7,0.2,0.5744336569579288,0.7669902912621359,0.6568915642896459
236,showcase_noStem,10.0,50.0,0.8,0.05,0.5537216828478966,0.7669902912621359,0.643136676476116
237,showcase_noStem,10.0,50.0,0.8,0.1,0.5177993527508091,0.6699029126213593,0.5841115314409672
238,showcase_noStem,10.0,50.0,0.8,0.2,0.5550161812297735,0.7378640776699029,0.6335103345200919
257,showcase_noStem,10.0,70.0,0.5,0.1,0.5364077669902912,0.6796116504854369,0.5995775439412436
272,showcase_noStem,10.0,75.0,0.5,0.05,0.5577669902912622,0.7475728155339806,0.6388703347330188
273,showcase_noStem,10.0,75.0,0.5,0.1,0.5388349514563108,0.6504854368932039,0.5894194571032296
285,showcase_noStem,10.0,75.0,0.8,0.1,0.5946601941747575,0.7669902912621359,0.6699202187494593
286,showcase_noStem,10.0,75.0,0.8,0.2,0.5825242718446603,0.7669902912621359,0.6621498917370958
289,showcase_noStem,10.0,90.0,0.5,0.1,0.5622977346278317,0.6796116504854369,0.6154138072799723
305,showcase_noStem,10.0,120.0,0.5,0.1,0.5998381877022655,0.7281553398058253,0.6577974520921639
320,showcase_noStem,10.0,125.0,0.5,0.05,0.5362459546925566,0.6796116504854369,0.5994764465554265
321,showcase_noStem,10.0,125.0,0.5,0.1,0.5873786407766991,0.6893203883495146,0.6342795968843443
333,showcase_noStem,10.0,125.0,0.8,0.1,0.5946601941747574,0.7572815533980582,0.6661902354848268
334,showcase_noStem,10.0,125.0,0.8,0.2,0.5687702265372169,0.6990291262135923,0.6272080098636317
336,showcase_noStem,10.0,150.0,0.5,0.05,0.5205501618122979,0.6407766990291263,0.5744401952840181
337,showcase_noStem,10.0,150.0,0.5,0.1,0.546116504854369,0.6310679611650486,0.5855269742768492
400,showcase_noStem,20.0,50.0,0.5,0.05,0.5784789644012945,0.7281553398058253,0.6447443566082539
401,showcase_noStem,20.0,50.0,0.5,0.1,0.6171521035598706,0.8155339805825242,0.7026082227110341
402,showcase_noStem,20.0,50.0,0.5,0.2,0.6051779935275081,0.7572815533980582,0.6727394322348546
404,showcase_noStem,20.0,50.0,0.6,0.05,0.6051779935275082,0.7475728155339806,0.6688809402146143
405,showcase_noStem,20.0,50.0,0.6,0.1,0.5755663430420712,0.7669902912621359,0.6576315453825281
406,showcase_noStem,20.0,50.0,0.6,0.2,0.6343042071197412,0.8349514563106796,0.720927248620675
408,showcase_noStem,20.0,50.0,0.7,0.05,0.5938511326860842,0.8252427184466019,0.690682047137749
409,showcase_noStem,20.0,50.0,0.7,0.1,0.6192556634304207,0.8155339805825242,0.703969447093565
410,showcase_noStem,20.0,50.0,0.7,0.2,0.5938511326860841,0.7766990291262136,0.6730780252404259
412,showcase_noStem,20.0,50.0,0.8,0.05,0.6411003236245956,0.8446601941747572,0.72893567617521
413,showcase_noStem,20.0,50.0,0.8,0.1,0.6027508090614887,0.7572815533980582,0.671237069936411
414,showcase_noStem,20.0,50.0,0.8,0.2,0.6346278317152104,0.8640776699029126,0.7317885168126157
433,showcase_noStem,20.0,70.0,0.5,0.1,0.6035598705501618,0.7378640776699029,0.6639886633796713
448,showcase_noStem,20.0,75.0,0.5,0.05,0.6415857605177995,0.8058252427184466,0.7143872749868397
449,showcase_noStem,20.0,75.0,0.5,0.1,0.6245954692556633,0.7281553398058253,0.672411390347006
461,showcase_noStem,20.0,75.0,0.8,0.1,0.614401294498382,0.8155339805825242,0.7008221170695585
462,showcase_noStem,20.0,75.0,0.8,0.2,0.6318770226537218,0.8155339805825242,0.7120537046785371
465,showcase_noStem,20.0,90.0,0.5,0.1,0.58042071197411,0.7087378640776699,0.6381932266716711
481,showcase_noStem,20.0,120.0,0.5,0.1,0.6262135922330099,0.7572815533980582,0.6855390904445581
496,showcase_noStem,20.0,125.0,0.5,0.05,0.6370550161812298,0.7572815533980582,0.6919850239591866
497,showcase_noStem,20.0,125.0,0.5,0.1,0.651294498381877,0.7572815533980582,0.7003005749401917
509,showcase_noStem,20.0,125.0,0.8,0.1,0.6411003236245957,0.8155339805825242,0.7178728351628442
510,showcase_noStem,20.0,125.0,0.8,0.2,0.6524271844660195,0.8155339805825242,0.7249190938511328
512,showcase_noStem,20.0,150.0,0.5,0.05,0.609546925566343,0.7475728155339806,0.6715409076228698
513,showcase_noStem,20.0,150.0,0.5,0.1,0.5933656957928802,0.6893203883495146,0.6377539710048366
576,showcase_noStem,30.0,50.0,0.5,0.05,0.6375404530744337,0.7961165048543689,0.7080584715860527
577,showcase_noStem,30.0,50.0,0.5,0.1,0.6402912621359225,0.8252427184466019,0.7210964860093199
578,showcase_noStem,30.0,50.0,0.5,0.2,0.6024271844660195,0.7961165048543689,0.6858594810998069
580,showcase_noStem,30.0,50.0,0.6,0.05,0.6524271844660195,0.8155339805825242,0.7249190938511328
581,showcase_noStem,30.0,50.0,0.6,0.1,0.6058252427184467,0.7961165048543689,0.6880563698464354
582,showcase_noStem,30.0,50.0,0.6,0.2,0.6411003236245956,0.8543689320388349,0.7325275284003169
584,showcase_noStem,30.0,50.0,0.7,0.05,0.6828478964401294,0.8543689320388349,0.7590393459376596
585,showcase_noStem,30.0,50.0,0.7,0.1,0.6326860841423949,0.8446601941747572,0.723465796105871
