,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
0,showcase_noStem2,20.0,50.0,0.9,0.1,63.75,80.58,71.19
1,showcase_noStem2,20.0,50.0,0.9,0.2,58.98,80.58,68.11
2,showcase_noStem2,20.0,50.0,0.9,0.3,57.67,88.35,69.79
3,showcase_noStem2,20.0,50.0,0.9,0.4,60.45,88.35,71.79
0,showcase_noStem2,5.0,50.0,0.5,0.1,46.3,60.2,52.3
1,showcase_noStem2,5.0,50.0,0.5,0.2,41.5,59.2,48.8
2,showcase_noStem2,5.0,50.0,0.5,0.3,42.2,52.4,46.8
3,showcase_noStem2,5.0,50.0,0.5,0.4,44.2,54.4,48.7
4,showcase_noStem2,5.0,50.0,0.6,0.1,35.4,48.5,41.0
5,showcase_noStem2,5.0,50.0,0.6,0.2,53.6,67.0,59.5
6,showcase_noStem2,5.0,50.0,0.6,0.3,47.2,57.3,51.8
7,showcase_noStem2,5.0,50.0,0.6,0.4,51.4,70.9,59.6
8,showcase_noStem2,5.0,50.0,0.7,0.1,44.3,65.0,52.7
9,showcase_noStem2,5.0,50.0,0.7,0.2,55.7,73.8,63.5
10,showcase_noStem2,5.0,50.0,0.7,0.3,41.1,54.4,46.8
11,showcase_noStem2,5.0,50.0,0.7,0.4,49.0,68.0,57.0
12,showcase_noStem2,5.0,50.0,0.8,0.1,26.2,31.1,28.4
13,showcase_noStem2,5.0,50.0,0.8,0.2,46.9,61.2,53.1
14,showcase_noStem2,5.0,50.0,0.8,0.3,43.0,53.4,47.7
15,showcase_noStem2,5.0,50.0,0.8,0.4,35.9,49.5,41.6
16,showcase_noStem2,10.0,50.0,0.5,0.1,60.4,75.7,67.2
17,showcase_noStem2,10.0,50.0,0.5,0.2,55.8,73.8,63.6
18,showcase_noStem2,10.0,50.0,0.5,0.3,47.1,63.1,53.9
19,showcase_noStem2,10.0,50.0,0.5,0.4,58.4,74.8,65.6
