name,language,group
2048,CSS,Web Games
atom,CoffeeScript,Text Editor
brackets,JavaScript,Text Editor
textmate,C++,Text Editor
LightTable,Clojure,Text Editor
vim.js,C,Text Editor
sharelatex,CoffeeScript,Text Editor
slap,JavaScript,Text Editor
codebox,JavaScript,Text Editor
zed,JavaScript,Text Editor
KomodoEdit,Python,Text Editor
Caret,JavaScript,Text Editor
leo-editor,Python,Text Editor
BrowserQuest,JavaScript,Web Games
untrusted,JavaScript,Web Games
adarkroom,JavaScript,Web Games
hextris,JavaScript,Web Games
clumsy-bird,JavaScript,Web Games
0hh1,JavaScript,Web Games
d3,JavaScript,Data Visulization
Chart.js,JavaScript,Data Visulization
Leaflet,JavaScript,Data Visulization
echarts,JavaScript,Data Visulization
chartist-js,JavaScript,Data Visulization
sigma.js,JavaScript,Data Visulization
metrics-graphics,JavaScript,Data Visulization
dc.js,JavaScript,Data Visulization
epoch,HTML,Data Visulization
matplotlib,Python,Data Visulization
peity,HTML,Data Visulization
raw,JavaScript,Data Visulization
chroma.js,CoffeeScript,Data Visulization
arbor,JavaScript,Data Visulization
dimple,JavaScript,Data Visulization
BEMSimpleLineGraph,Objective-C,Data Visulization
recline,JavaScript,Data Visulization
envisionjs,JavaScript,Data Visulization
kartograph.js,JavaScript,Data Visulization
pygal,Python,Data Visulization
cesium,JavaScript,Data Visulization
modestmaps-js,JavaScript,Data Visulization
Decider,Ruby,Machine Learning
jubatus,C++,Machine Learning
datumbox-framework,Java,Machine Learning
seldon-server,Java,Machine Learning
mahout,Java,Machine Learning
MLPNeuralNet,Objective-C,Machine Learning
shogun,C++,Machine Learning
oryx,Java,Machine Learning
neon,Python,Machine Learning
h2o-2,Java,Machine Learning
ML_for_Hackers,R,Machine Learning
golearn,Go,Machine Learning
Ruby-warrior,Ruby,Machine Learning
xgboost,C++,Machine Learning
mxnet,C++,Machine Learning
Theano,Python,Machine Learning
nupic,Python,Machine Learning
pattern,Python,Machine Learning
convnetjs,JavaScript,Machine Learning
CNTK,C++,Machine Learning
keras,Python,Machine Learning
brain,JavaScript,Machine Learning
PredictionIO,Scala,Machine Learning
caffe,C++,Machine Learning
scikit-learn,Python,Machine Learning
tensorflow,C++,Machine Learning
libgdx,Java,Games Engines
GD,HTML,Games Engines
Dash,D,Games Engines
panda3d,C++,Games Engines
duality,C#,Games Engines
AtomicGameEngine,C,Games Engines
xenko,C#,Games Engines
spring,C++,Games Engines
superpowers-core,TypeScript,Games Engines
jmonkeyengine,Java,Games Engines
Torque2D,C++,Games Engines
GamePlay,C++,Games Engines
Starling-Framework,ActionScript,Games Engines
Torque3D,C++,Games Engines
turbulenz_engine,TypeScript,Games Engines
godot,C,Games Engines
openage,C++,Games Engines
MonoGame,C#,Games Engines
cocos2d-x,C++,Games Engines
OpenRA,C#,Games Engines
spring-framework,Java,Web Framework
laravel,PHP,Web Framework
symfony,PHP,Web Framework
cakephp,PHP,Web Framework
CodeIgniter,PHP,Web Framework
rails,Ruby,Web Framework
sinatra,Ruby,Web Framework
pakyow,Ruby,Web Framework
flask,Python,Web Framework
django,Python,Web Framework
web2py,Python,Web Framework
frappe,Python,Web Framework
express,JavaScript,Web Framework
derby,JavaScript,Web Framework
mean,JavaScript,Web Framework
meteor,JavaScript,Web Framework
