name	full_name	id	description	language	size	watchers	forks	stargazers_count
redis	antirez/redis	156018	Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, HyperLogLogs, Bitmaps.	C	220564	19728	7301	19728
rethinkdb	rethinkdb/rethinkdb	6452529	The open-source database for the realtime web.	C++	448864	15430	1190	15430
mongo	mongodb/mongo	108110	The Mongo Database	C++	348091	10007	2772	10007
realm-cocoa	realm/realm-cocoa	4044891	Realm is a mobile database: a replacement for Core Data & SQLite	Objective-C	123911	8794	1049	8794
cayley	cayleygraph/cayley	20537104	An open-source graph database	Go	24156	8574	707	8574
cockroach	cockroachdb/cockroach	16563587	A Scalable, Survivable, Strongly-Consistent SQL Database	Go	326590	7562	752	7562
postgrest	begriffs/postgrest	20787122	REST API for any Postgres database	Haskell	19680	7266	291	7266
sqlmap	sqlmapproject/sqlmap	4793392	Automatic SQL injection and database takeover tool	Python	52623	6925	1591	6925
pouchdb	pouchdb/pouchdb	714074	:koala: - PouchDB is a pocket-sized database.	JavaScript	151804	6908	755	6908
prometheus	prometheus/prometheus	6838921	The Prometheus monitoring system and time series database.	Go	18111	5995	549	5995
realm-java	realm/realm-java	4084908	Realm is a mobile database: a replacement for SQLite & ORMs	Java	66448	5983	886	5983
greenDAO	greenrobot/greenDAO	2626751	greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.	Java	11396	5560	1901	5560
monolog	Seldaek/monolog	1376664	Sends your logs to files, sockets, inboxes, databases and various web services	PHP	3102	5218	970	5218
nedb	louischatriot/nedb	9795883	The JavaScript Database, for Node.js, nw.js, electron and the browser	JavaScript	2557	4962	333	4962
bolt	boltdb/bolt	15345331	An embedded key/value database for Go.	Go	1699	4812	367	4812
tidb	pingcap/tidb	41986369	TiDB is a distributed NewSQL database compatible with MySQL protocol 	Go	23886	4670	588	4670
sqlitebrowser	sqlitebrowser/sqlitebrowser	19416551	Official home of the DB Browser for SQLite (DB4S) project. Previously known as "SQLite Database Browser" and "Database Browser for SQLite". Website at: 	C++	11963	4577	656	4577
lovefield	google/lovefield	24650236	Lovefield is a relational database for web apps. Written in JavaScript, works cross-browser. Provides SQL-like APIs that are fast, safe, and easy to use.	JavaScript	48133	4543	233	4543
noms	attic-labs/noms	36778364	The versioned, forkable, syncable database	Go	29148	4248	111	4248
db-readings	rxin/db-readings	4513324	Readings in Databases	null	87	4232	442	4232
titan	thinkaurelius/titan	3548254	Distributed Graph Database	Java	91250	3961	800	3961
vitess	youtube/vitess	11008207	vitess provides servers and tools which facilitate scaling of MySQL databases for large scale web services.	Go	90853	3851	498	3851
ssdb	ideawu/ssdb	7561862	SSDB - A fast NoSQL database, an alternative to Redis	C++	5463	3731	889	3731
pgweb	sosedoff/pgweb	24968828	Cross-platform client for PostgreSQL databases	Go	17595	3563	202	3563
lowdb	typicode/lowdb	18351848	A small local database for small projects :cat: (powered by lodash API)	JavaScript	497	3553	135	3553
stellar	fastmonkeys/stellar	21269387	Fast database snapshot and restore tool for development	Python	759	3328	94	3328
medis	luin/medis	44111975	Medis is a beautiful, easy-to-use Mac database management application for Redis.	JavaScript	49261	3016	136	3016
flockdb	twitter/flockdb	605999	A distributed, fault-tolerant graph database	Scala	7027	2960	237	2960
sequel	jeremyevans/sequel	5954	Sequel: The Database Toolkit for Ruby	Ruby	33497	2801	525	2801
DBFlow	Raizlabs/DBFlow	24161015	A blazing fast, powerful, and very simple ORM android database library that writes database code for you.	Java	6910	2756	404	2756
mysql	go-sql-driver/mysql	7083242	Go MySQL Driver is a lightweight and fast MySQL driver for Go's (golang) database/sql package	Go	1235	2696	637	2696
LokiJS	techfort/LokiJS	11654790	javascript embeddable / in-memory database	JavaScript	7500	2666	234	2666
YapDatabase	yapstudios/YapDatabase	7262245	YapDatabase is an extensible database for iOS & Mac.	Objective-C	11375	2638	265	2638
arangodb	arangodb/arangodb	2649214	ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.	C++	1129127	2532	228	2532
phinx	robmorgan/phinx	3055234	PHP Database Migrations for Everyone	PHP	6207	2478	544	2478
Haxl	facebook/Haxl	18379853	A Haskell library that simplifies access to remote data, such as databases or web-based services. 	Haskell	293	2378	208	2378
pq	lib/pq	3698588	Pure Go Postgres driver for database/sql	Go	1324	2300	340	2300
datascript	tonsky/datascript	18800032	Immutable database and Datalog query engine for Clojure, ClojureScript and JS	Clojure	1073	2245	137	2245
opentsdb	OpenTSDB/opentsdb	865412	A scalable, distributed Time Series Database.	Java	37177	2169	731	2169
mapdb	jankotek/mapdb	5453989	MapDB provides concurrent Maps, Sets and Queues backed by disk storage or off-heap-memory. It is a fast and easy to use embedded Java database engine.	Java	19987	2153	511	2153
ecto	elixir-ecto/ecto	10649374	A database wrapper and language integrated query for Elixir	Elixir	9411	2102	493	2102
Medoo	catfan/Medoo	9114826	The lightest PHP database framework to accelerate development	PHP	648	2086	627	2086
delayed_job	tobi/delayed_job	682	Database backed asynchronous priority queue -- Extracted from Shopify 	Ruby	4838	2082	1090	2082
sequelpro	sequelpro/sequelpro	14224695	MySQL database management for Mac OS X	Objective-C	56392	2060	229	2060
gun	amark/gun	22475123	A realtime, decentralized, offline-first, graph database engine.	JavaScript	26768	2047	104	2047
sqlx	jmoiron/sqlx	7877397	general purpose extensions to golang's database/sql	Go	683	2032	177	2032
Search-Replace-DB	interconnectit/Search-Replace-DB	2918243	A PHP search replace tool for quickly modifying a string throughout a database. Useful for changing the base URL when migrating a WordPress site from development to production.	PHP	1470	1959	407	1959
database_cleaner	DatabaseCleaner/database_cleaner	143489	Strategies for cleaning databases in Ruby.  Can be used to ensure a clean state for testing.	Ruby	1458	1880	371	1880
sugar	satyan/sugar	2197202	Insanely easy way to work with Android Database.  	Java	14434	1844	495	1844
octopus	thiagopradi/octopus	668622	Database Sharding for ActiveRecord	Ruby	1401	1830	306	1830
exploit-database	offensive-security/exploit-database	14902556	The official Exploit Database repository	C	94003	1820	515	1820
LitePal	LitePalFramework/LitePal	8305132	An Android library that allows developers to use SQLite database extremely easy.	Java	2855	1815	651	1815
sqlcipher	sqlcipher/sqlcipher	38617	SQLCipher is an SQLite extension that provides 256 bit AES encryption of database files.	C	33019	1781	480	1781
adminer	vrana/adminer	627735	Database management in a single PHP file	PHP	12022	1772	346	1772
jugglingdb	1602/jugglingdb	2519670	Multi-database ORM for nodejs: redis, mongodb, mysql, sqlite3, postgresql, arango, in-memory...	JavaScript	2194	1759	221	1759
dgraph	dgraph-io/dgraph	41349039	Scalable, Distributed, Low Latency Graph Database	Go	57251	1738	78	1738
fake2db	emirozer/fake2db	16960472	create custom test databases that are populated with fake data	Python	1031	1676	77	1676
persistencejs	coresmart/persistencejs	497608	persistence.js is an asynchronous Javascript database mapper library. You can use it in the browser, as well on the server (and you can share data models between them).	JavaScript	1641	1646	239	1646
EventStore	EventStore/EventStore	5844474	The open-source, functional database with Complex Event Processing in JavaScript.	C#	175093	1634	331	1634
moloch	aol/moloch	4927517	Moloch is a open source large scale full PCAP capturing, indexing and database system.	JavaScript	9314	1626	321	1626
android-sqlite-asset-helper	jgilfelt/android-sqlite-asset-helper	2927004	An Android helper class to manage database creation and version management using an application's raw asset files	Java	2361	1626	404	1626
tiedot	HouzuoGuo/tiedot	10296238	Your NoSQL database powered by Golang	Go	7707	1623	137	1623
gpdb	greenplum-db/gpdb	44781140	Greenplum Database	PLpgSQL	228574	1606	449	1606
redbean	gabordemooij/redbean	213238	ORM layer that creates models, config and database on the fly	PHP	9832	1588	224	1588
ravendb	ravendb/ravendb	542714	A linq enabled document database for .NET	C#	376368	1564	638	1564
FreeGeoDB	delight-im/FreeGeoDB	33564268	Free database of geographic place names and corresponding geospatial data	PHP	209102	1538	133	1538
flyway	flyway/flyway	7170058	Flyway by Boxfuse • Database Migrations Made Easy.	Java	11402	1515	479	1515
zerodb	zerodb/zerodb	47479424	ZeroDB is an end-to-end encrypted database. Data can be stored and queried on untrusted database servers without ever exposing the encryption key. Clients can execute remote queries against the encrypted data without downloading all of it or suffering an excessive performance hit.	Python	3387	1493	82	1493
dbv	victorstanciu/dbv	6733865	Database version control, made easy!	JavaScript	560	1442	237	1442
taffydb	typicaljoe/taffydb	184711	TaffyDB - an open source JavaScript Database for your browser	JavaScript	290	1441	234	1441
jStorage	andris9/jStorage	570427	jStorage is a simple key/value database to store data on browser side	JavaScript	392	1423	250	1423
her	remiprev/her	3967647	Her is an ORM (Object Relational Mapper) that maps REST resources to Ruby objects. It is designed to build applications that are powered by a RESTful API instead of a database.	Ruby	3162	1408	259	1408
hashids.php	ivanakimov/hashids.php	4026744	A small PHP class to generate YouTube-like ids from one or many numbers. Use hashids when you do not want to expose your database ids to the user.	PHP	164	1406	132	1406
go-sqlite3	mattn/go-sqlite3	2755696	sqlite3 driver for go that using database/sql	C	11622	1386	330	1386
jOOQ	jOOQ/jOOQ	1625986	jOOQ is an innovative solution for a better integration of Java applications with popular databases like Oracle, Microsoft SQL Server, IBM DB2, or SAP Sybase. When using jOOQ, our customers benefit from a significant added value and ROI as their software developers can express database queries in a much simpler and faster way. From our experience, this leads to a 10% - 20% decrease of programming effort, which again leads to higher quality and to a lower error rate in program code, and thus in the entire application.	Java	249242	1369	348	1369
crate	crate/crate	9342529	Crate.IO: The fast, scalable, easy to use SQL database with native full text search	Java	74414	1363	156	1363
torodb	torodb/torodb	25648295	ToroDB - Open source NoSQL database that runs on top of a RDBMS. Compatible with MongoDB protocol and APIs, but with support for native SQL, atomic operations and reliable and durable backends like PostgreSQL	Java	11018	1363	76	1363
apartment	influitive/apartment	5967893	Database multi-tenancy for Rack (and Rails) applications	Ruby	1264	1351	238	1351
directus	directus/directus	7122594	Directus is a headless CMS written in backbone.js that provides a feature-rich environment for rapid development and management of custom database schemas.	JavaScript	23084	1331	95	1331
PHP-MySQLi-Database-Class	joshcam/PHP-MySQLi-Database-Class	1017748	Wrapper for a PHP MySQL class, which utilizes MySQLi and prepared statements. 	PHP	793	1329	694	1329
SnappyDB	nhachicha/SnappyDB	15006401	A key-value database for Android	HTML	20880	1305	177	1305
sharding-jdbc	dangdangdotcom/sharding-jdbc	49876476	A JDBC driver for shard databases and tables	Java	4787	1302	648	1302
Cordova-sqlite-storage	litehelpers/Cordova-sqlite-storage	10120864	A Cordova/PhoneGap plugin to open and use sqlite databases on Android, iOS and Windows with HTML5/Web SQL API	JavaScript	18363	1300	493	1300
aerospike-server	aerospike/aerospike-server	20541608	Aerospike Database Server – flash-optimized, in-memory, nosql database	C	10843	1250	243	1250
phpfastcache	PHPSocialNetwork/phpfastcache	9719670	The PHP high-performance object caching system ever. phpFastCache is a high-performance, distributed object caching system, generic in nature, but intended for use in speeding up dynamic web applications by alleviating database load.  phpFastCache dropped the database load to almost nothing, yielding faster page load times for users, better resource utilization. It is simple yet powerful	PHP	19253	1240	327	1240
alasql	agershun/alasql	25780780	AlaSQL.js - JavaScript SQL database for browser and Node.js. Handles both traditional relational tables and nested JSON data (NoSQL). Export, store, and import data from localStorage, IndexedDB, or Excel.	JavaScript	72347	1240	169	1240
phpRedisAdmin	erikdubbelboer/phpRedisAdmin	2006314	Simple web interface to manage Redis databases.	PHP	261	1237	359	1237
goleveldb	syndtr/goleveldb	7767488	LevelDB key/value database in Go.	Go	1869	1219	166	1219
Gaffer	GovernmentCommunicationsHeadquarters/Gaffer	47973088	A large-scale graph database	Java	15944	1217	266	1217
mysql-server	mysql/mysql-server	24494032	MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database.	C++	1358767	1215	525	1215
squidb	yahoo/squidb	34006895	SquiDB is a SQLite database library for Android and iOS	Java	50317	1214	124	1214
