name	full_name	id	description	language	size	watchers	forks	stargazers_count
godot	godotengine/godot	15634981	Godot Engine – Multi-platform 2D and 3D game engine	C++	151496	6573	1720	6573
OpenRA	OpenRA/OpenRA	959908	Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.	C#	174697	3368	1098	3368
AndEngine	nicolasgramlich/AndEngine	2828194	Free Android 2D OpenGL Game Engine	Java	24111	2819	1495	2819
Serious-Engine	Croteam-official/Serious-Engine	53668878	An open source version of a game engine developed by Croteam for the classic Serious Sam games.	C++	94067	2306	279	2306
Crafty	craftyjs/Crafty	1052675	JavaScript Game Engine	JavaScript	11844	2158	480	2158
engine	playcanvas/engine	19696006	3D WebGL game engine with online toolset.	JavaScript	54181	2104	425	2104
Starling-Framework	Gamua/Starling-Framework	2097941	The Cross Platform Game Engine	ActionScript	34099	2030	884	2030
melonJS	melonjs/melonJS	1597789	a fresh & lightweight javascript game engine	CSS	64190	1672	381	1672
piston	PistonDevelopers/piston	19102672	A modular game engine written in Rust	Rust	4689	1417	116	1417
Urho3D	urho3d/Urho3D	13266601	Cross-platform 2D and 3D game engine	C++	728944	1323	415	1323
BansheeEngine	BearishSun/BansheeEngine	21696509	Banshee Game Engine	C++	130161	1307	128	1307
Quintus	cykod/Quintus	3896632	HTML5 Game Engine	JavaScript	2717	1240	426	1240
Torque2D	GarageGames/Torque2D	8022693	MIT Licensed Open Source version of Torque 2D game engine from GarageGames	C++	135183	1129	1378	1129
xenko	SiliconStudio/xenko	23534015	Xenko Game Engine	C#	54005	1074	297	1074
AtomicGameEngine	AtomicGameEngine/AtomicGameEngine	29790707	The Atomic Game Engine: http://www.AtomicGameEngine.com	C	99294	973	184	973
flixel	HaxeFlixel/flixel	2101031	Free, cross-platform 2D game engine powered by Haxe and OpenFL	Haxe	32269	907	224	907
voxel-engine	maxogden/voxel-engine	7433588	3D HTML5 voxel game engine	JavaScript	3237	888	154	888
freeablo	wheybags/freeablo	11261721	Modern reimplementation of the Diablo 1 game engine	C++	267632	798	82	798
hematite	PistonDevelopers/hematite	21311275	A simple Minecraft written in Rust with the Piston game engine	Rust	8390	771	74	771
BananaBread	kripken/BananaBread	3677506	BananaBread is a C++ 3D game engine that runs on the web using JavaScript+WebGL+HTML	C++	781092	756	144	756
termloop	JoelOtter/termloop	36133658	Terminal-based game engine for Go, built on top of Termbox	Go	869	658	31	658
gameQuery	onaluf/gameQuery	703011	a javascript game engine with jQuery	JavaScript	4062	604	182	604
