name	full_name	id	description	language	size	watchers	forks	stargazers_count
atom	atom/atom	3228505	The hackable text editor	CoffeeScript	406913	30685	5242	30685
lime	limetext/lime	6064342	Open source API-compatible alternative to the text editor Sublime Text	null	4365	12686	1076	12686
textmate	textmate/textmate	5344375	TextMate is a graphical text editor for OS X 10.8+	Objective-C++	61242	10990	1725	10990
quill	quilljs/quill	5239185	Your powerful, rich text editor	JavaScript	14877	10497	567	10497
draft-js	facebook/draft-js	52113921	A React framework for building text editors.	JavaScript	3876	7453	539	7453
trix	basecamp/trix	11829145	A rich text editor for everyday writing	CoffeeScript	3650	7146	278	7146
wysihtml5	xing/wysihtml5	1922703	Open source rich text editor based on HTML5 and the progressive-enhancement approach. Uses a sophisticated security concept and aims to generate fully valid HTML5 markup by preventing unmaintainable tag soups and inline styles.	JavaScript	6355	6568	1092	6568
macvim	b4winckler/macvim	692798	Vim - the text editor - for Mac OS X	C	78126	5350	465	5350
micro	zyedidia/micro	53632140	A modern and intuitive terminal-based text editor	Go	3081	4142	139	4142
vim-colors-solarized	altercation/vim-colors-solarized	1381275	precision colorscheme for the vim text editor	VimL	772	4099	1264	4099
Squire	neilj/Squire	2669200	HTML5 rich text editor. Try the demo integration at	JavaScript	3282	3462	233	3462
scribe	guardian/scribe	14298729	A rich text editor framework for the web platform	JavaScript	6521	3441	244	3441
textAngular	fraywing/textAngular	13429048	A radically powerful Text-Editor/Wysiwyg editor for Angular.js! Create multiple editor instances, two-way-bind HTML content, watch editors for changes and more!	JavaScript	4406	3430	886	3430
slap	slap-editor/slap	18981255	Sublime-like terminal-based text editor	JavaScript	1645	3141	120	3141
wysihtml	Voog/wysihtml	12459565	Open source rich text editor for the modern web	JavaScript	13135	3052	278	3052
cleartext-mac	mortenjust/cleartext-mac	46653709	A text editor that only allows the top 1,000 most common words in English	Swift	2280	3021	121	3021
kilo	antirez/kilo	62994219	A text editor in less than 1000 LOC with syntax highlight and search.	C	20	2808	292	2808
hallo	bergie/hallo	1707621	Simple rich text editor (contentEditable) for jQuery UI	JavaScript	4229	2434	363	2434
slate	ianstormtaylor/slate	61412022	A completely customizable framework for building rich text editors.	JavaScript	24137	2424	90	2424
PlainTasks	aziz/PlainTasks	4038657	An opinionated todo-list plugin for Sublime Text editor (version 2 and 3)	Python	791	2420	226	2420
firepad	firebase/firepad	9037027	Collaborative Text Editor Powered by Firebase	JavaScript	6190	2277	484	2277
vis	martanne/vis	26677418	a vim like text editor	C	3994	2229	98	2229
macvim	macvim-dev/macvim	5641441	Vim - the text editor - for Mac OS X	C	84930	2141	306	2141
ZSSRichTextEditor	nnhubbard/ZSSRichTextEditor	16393248	A beautiful rich text WYSIWYG editor for iOS with a syntax highlighted source view	Objective-C	1086	1915	275	1915
jquery-notebook	raphaelcruzeiro/jquery-notebook	16031396	A modern, simple and elegant WYSIWYG rich text editor.	JavaScript	351	1679	210	1679
CotEditor	coteditor/CotEditor	9243402	Lightweight Plain-Text Editor for macOS	Swift	55902	1658	166	1658
scriptcs	scriptcs/scriptcs	8473240	Write C# apps with a text editor, nuget and the power of Roslyn!	C#	18316	1631	307	1631
Knife	mthli/Knife	47661740	Knife is a rich text editor component for writing documents in Android.	Java	1151	1225	140	1225
tmTheme-Editor	aziz/tmTheme-Editor	6466760	Color scheme editor for SublimeText, Textmate and a bunch of other text editors	HTML	6184	1182	257	1182
sublime-enhanced	shagabutdinov/sublime-enhanced	24747281	Set of plugins for beloved sublime text editor	HTML	66	1135	31	1135
gmate	gmate/gmate	586391	Set of plugins and improvements to make Gedit a powerfull programmer text editor	Python	2110	1048	153	1048
popline	kenshin54/popline	10449816	Popline is an HTML5 Rich-Text-Editor Toolbar	JavaScript	393	1034	151	1034
iota	gchp/iota	24936564	A terminal-based text editor written in Rust	Rust	1223	890	47	890
massren	laurent22/massren	16522792	massren - easily rename multiple files using your text editor	Go	1025	786	16	786
edhita	tnantoka/edhita	824672	Fully open source text editor for iOS written in Swift.	Swift	19374	748	204	748
wysiwyg-editor	froala/wysiwyg-editor	16466496	A beautifuly designed jQuery WYSIWYG Rich Text Editor based on HTML5.	HTML	56283	743	142	743
iOS-Rich-Text-Editor	aryaxt/iOS-Rich-Text-Editor	9880061	A Rich Text Editor for iOS	Objective-C	1820	725	134	725
